code,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,mcc,support_true,support_pred
AO : 4. Cross value chain,11,0,0,0,0.9999999999999091,0.9999999999999091,0.0,0.9999999999994091,0.9999999999999091,0.49999999999995454,0.0,11,11
C9_Regulatory_Mandatory_action_plan,11,0,0,0,0.9999999999999091,0.9999999999999091,0.0,0.9999999999994091,0.9999999999999091,0.49999999999995454,0.0,11,11
C9_Regulatory_Moratorium,1,0,0,10,0.9999999999989999,0.9999999999989999,0.9999999999999,0.9999999999984999,0.9999999999999091,0.99999999999945,0.9999999999999,1,1
C9_Soft_Voluntary_labelling,1,0,0,10,0.9999999999989999,0.9999999999989999,0.9999999999999,0.9999999999984999,0.9999999999999091,0.99999999999945,0.9999999999999,1,1
O : C5 Objectives - protect biodiversity and (marine) environment,10,1,0,0,0.9090909090908265,0.9999999999999,0.0,0.9523809523803628,0.9090909090908265,0.49999999999995,0.0,10,11
P : Mentioned,10,1,0,0,0.9090909090908265,0.9999999999999,0.0,0.9523809523803628,0.9090909090908265,0.49999999999995,0.0,10,11
AN : 3. Downstream,10,1,0,0,0.9090909090908265,0.9999999999999,0.0,0.9523809523803628,0.9090909090908265,0.49999999999995,0.0,10,11
"C9_Soft_Assessment,_monitoring_and_evaluation",10,1,0,0,0.9090909090908265,0.9999999999999,0.0,0.9523809523803628,0.9090909090908265,0.49999999999995,0.0,10,11
L : C4 Objectives - protect human health,9,1,0,1,0.89999999999991,0.9999999999998889,0.49999999999975,0.9473684210520332,0.9090909090908265,0.7499999999998195,0.6708203932498868,9,10
M : Mentioned,9,1,0,1,0.89999999999991,0.9999999999998889,0.49999999999975,0.9473684210520332,0.9090909090908265,0.7499999999998195,0.6708203932498868,9,10
C9_Regulatory_Performance_standard,9,0,1,1,0.9999999999998889,0.89999999999991,0.9999999999989999,0.9473684210520332,0.9090909090908265,0.949999999999455,0.6708203932498868,10,9
C9_Regulatory_Ban,7,1,0,3,0.8749999999998906,0.9999999999998571,0.7499999999998125,0.9333333333327111,0.9090909090908265,0.8749999999998348,0.8100925873009514,7,8
C9_Regulatory_EPR,7,1,0,3,0.8749999999998906,0.9999999999998571,0.7499999999998125,0.9333333333327111,0.9090909090908265,0.8749999999998348,0.8100925873009514,7,8
C9_Soft_Education_programs,5,1,0,5,0.8333333333331945,0.9999999999997999,0.8333333333331945,0.9090909090902478,0.9090909090908265,0.9166666666664972,0.8333333333333056,5,6
AL : 1. Upstream,9,2,0,0,0.8181818181817438,0.9999999999998889,0.0,0.8999999999994149,0.8181818181817438,0.49999999999994443,0.0,9,11
AM : 2. Midstream,9,2,0,0,0.8181818181817438,0.9999999999998889,0.0,0.8999999999994149,0.8181818181817438,0.49999999999994443,0.0,9,11
"C : Mentioned, no time frame",7,2,0,2,0.7777777777776913,0.9999999999998571,0.499999999999875,0.8749999999993983,0.8181818181817438,0.7499999999998661,0.6236095644622959,7,9
AA : Mentioned,6,2,0,3,0.7499999999999063,0.9999999999998334,0.59999999999988,0.8571428571422448,0.8181818181817438,0.7999999999998566,0.6708203932499119,6,8
A : C1 Objectives - end plastic pollution,8,3,0,0,0.7272727272726611,0.999999999999875,0.0,0.8421052631573185,0.7272727272726611,0.4999999999999375,0.0,8,11
Z : C6 Objectives - addressing the full life cycle of plastics,8,3,0,0,0.7272727272726611,0.999999999999875,0.0,0.8421052631573185,0.7272727272726611,0.4999999999999375,0.0,8,11
C9_Regulatory_Mandatory_reports,8,3,0,0,0.7272727272726611,0.999999999999875,0.0,0.8421052631573185,0.7272727272726611,0.4999999999999375,0.0,8,11
C9_Soft_Promotion_of_RandI,8,3,0,0,0.7272727272726611,0.999999999999875,0.0,0.8421052631573185,0.7272727272726611,0.4999999999999375,0.0,8,11
C9_Regulatory_Mandatory_labelling,5,0,2,4,0.9999999999997999,0.7142857142856123,0.99999999999975,0.8333333333327083,0.8181818181817438,0.8571428571426811,0.6900655593423305,7,5
C9_Economic_Public_procurement,2,1,0,8,0.6666666666664445,0.9999999999995,0.8888888888887901,0.7999999999991999,0.9090909090908265,0.9444444444441451,0.7698003589194641,2,3
C9_Economic_Tax_incentive,2,0,1,8,0.9999999999995,0.6666666666664445,0.999999999999875,0.7999999999991999,0.9090909090908265,0.8333333333331597,0.7698003589194641,3,2
K : Not mentioned,6,0,4,1,0.9999999999998334,0.59999999999994,0.9999999999989999,0.7499999999994374,0.6363636363635785,0.79999999999947,0.3464101615137555,10,6
C9_Soft_Harmonization,5,5,0,1,0.49999999999995,0.9999999999997999,0.16666666666663887,0.6666666666661333,0.5454545454544959,0.5833333333332194,0.2886751345947962,5,10
AC : Partial mention,2,2,0,7,0.499999999999875,0.9999999999995,0.7777777777776913,0.6666666666659999,0.8181818181817438,0.8888888888885956,0.6236095644622959,2,4
B : Mentioned with time frame,1,1,0,9,0.49999999999975,0.9999999999989999,0.89999999999991,0.6666666666657777,0.9090909090908265,0.949999999999455,0.6708203932498868,1,2
N : Not mentioned,1,0,1,9,0.9999999999989999,0.49999999999975,0.9999999999998889,0.6666666666657777,0.9090909090908265,0.7499999999998195,0.6708203932498868,2,1
C9_Regulatory_Mandatory_certification,1,0,1,9,0.9999999999989999,0.49999999999975,0.9999999999998889,0.6666666666657777,0.9090909090908265,0.7499999999998195,0.6708203932498868,2,1
C9_Soft_Expert_group,4,5,0,2,0.44444444444439507,0.99999999999975,0.2857142857142449,0.6153846153840946,0.5454545454544959,0.6428571428569975,0.3563483225498833,4,9
C9_Regulatory_Requirements_and_surveillance_in_trade_systems,3,2,2,4,0.59999999999988,0.59999999999988,0.6666666666665555,0.5999999999993799,0.6363636363635785,0.6333333333332177,0.2666666666666578,5,5
C9_Soft_Information_and_Guidance,4,6,0,1,0.39999999999996,0.99999999999975,0.14285714285712245,0.5714285714280816,0.45454545454541323,0.5714285714284362,0.23904572186686446,4,10
C9_Economic_Penalty,2,3,0,6,0.39999999999992,0.9999999999995,0.6666666666665926,0.571428571428,0.7272727272726611,0.8333333333330463,0.5163977794943001,2,5
AH : Mentioned,4,7,0,0,0.36363636363633056,0.99999999999975,0.0,0.533333333332871,0.36363636363633056,0.499999999999875,0.0,4,11
C9_Soft_Knowledge_sharing,4,7,0,0,0.36363636363633056,0.99999999999975,0.0,0.533333333332871,0.36363636363633056,0.499999999999875,0.0,4,11
E : C2 Objectives - reduce production of plastics,3,6,0,2,0.3333333333332963,0.9999999999996666,0.24999999999996875,0.49999999999954164,0.45454545454541323,0.6249999999998177,0.288675134594799,3,9
C9_Economic_RandD_funding,2,5,0,4,0.2857142857142449,0.9999999999995,0.44444444444439507,0.44444444444399994,0.5454545454544959,0.7222222222219475,0.3563483225498833,2,7
C9_Economic_Subsidy,2,5,0,4,0.2857142857142449,0.9999999999995,0.44444444444439507,0.44444444444399994,0.5454545454544959,0.7222222222219475,0.3563483225498833,2,7
H : Not mentioned,2,0,6,3,0.9999999999995,0.24999999999996875,0.9999999999996666,0.3999999999996,0.45454545454541323,0.6249999999998177,0.288675134594799,8,2
I : C3 Objectives - benefits of plastics,1,4,0,6,0.19999999999996,0.9999999999989999,0.59999999999994,0.3333333333329444,0.6363636363635785,0.79999999999947,0.3464101615137555,1,5
J : Mentioned,1,4,0,6,0.19999999999996,0.9999999999989999,0.59999999999994,0.3333333333329444,0.6363636363635785,0.79999999999947,0.3464101615137555,1,5
C9_Regulatory_Mandatory_infrastructure,1,5,0,5,0.16666666666663887,0.9999999999989999,0.49999999999995,0.2857142857139591,0.5454545454544959,0.749999999999475,0.2886751345947962,1,6
"G : Mentioned, no specification",1,7,1,2,0.12499999999998437,0.49999999999975,0.22222222222219754,0.19999999999964002,0.27272727272724795,0.36111111111097377,-0.24056261216233252,2,8
D : Not mentioned,0,0,3,8,0.0,0.0,0.999999999999875,0.0,0.7272727272726611,0.4999999999999375,0.0,3,0
Q : Not mentioned,0,0,1,10,0.0,0.0,0.9999999999999,0.0,0.9090909090908265,0.49999999999995,0.0,1,0
AD : C7 Objectives - other objectives,0,0,0,11,0.0,0.0,0.9999999999999091,0.0,0.9999999999999091,0.49999999999995454,0.0,0,0
AE : Circular economy,0,9,0,2,0.0,0.0,0.18181818181816528,0.0,0.18181818181816528,0.09090909090908264,0.0,0,9
AF : Climate change,0,4,0,7,0.0,0.0,0.6363636363635785,0.0,0.6363636363635785,0.31818181818178926,0.0,0,4
AG : ESM,0,9,0,2,0.0,0.0,0.18181818181816528,0.0,0.18181818181816528,0.09090909090908264,0.0,0,9
AI : Not mentioned,0,0,0,11,0.0,0.0,0.9999999999999091,0.0,0.9999999999999091,0.49999999999995454,0.0,0,0
AJ : Sustainable production,0,7,0,4,0.0,0.0,0.36363636363633056,0.0,0.36363636363633056,0.18181818181816528,0.0,0,7
C9_Economic_Trading_system,0,2,0,9,0.0,0.0,0.8181818181817438,0.0,0.8181818181817438,0.4090909090908719,0.0,0,2
C9_Regulatory_Judicial_measure,0,1,0,10,0.0,0.0,0.9090909090908265,0.0,0.9090909090908265,0.45454545454541323,0.0,0,1
C9_Soft_Voluntary_certification,0,0,1,10,0.0,0.0,0.9999999999999,0.0,0.9090909090908265,0.49999999999995,0.0,1,0
C9_Regulatory_Legal_recognition,0,1,1,9,0.0,0.0,0.89999999999991,0.0,0.8181818181817438,0.449999999999955,-0.09999999999999,1,1
F : Mentioned with specification,0,2,1,8,0.0,0.0,0.79999999999992,0.0,0.7272727272726611,0.39999999999996,-0.14907119849997486,1,2
C9_Economic_Deposit_systems,0,2,1,8,0.0,0.0,0.79999999999992,0.0,0.7272727272726611,0.39999999999996,-0.14907119849997486,1,2
AB : Not mentioned,0,1,3,7,0.0,0.0,0.8749999999998906,0.0,0.6363636363635785,0.4374999999999453,-0.19364916731035833,3,1
